,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log2_primer_effs[0],0.851,0.031,0.792,0.909,0.0,0.0,6863.0,10652.0,1.0
log2_primer_effs[1],1.089,0.021,1.049,1.13,0.0,0.0,5903.0,9513.0,1.0
log2_primer_effs[2],0.833,0.031,0.774,0.89,0.0,0.0,6989.0,11292.0,1.0
log2_primer_effs[3],0.945,0.03,0.886,1.0,0.0,0.0,6949.0,10882.0,1.0
log2_primer_effs[4],1.058,0.02,1.019,1.094,0.0,0.0,5410.0,8406.0,1.0
log2_primer_effs[5],1.064,0.02,1.027,1.102,0.0,0.0,5402.0,8752.0,1.0
log2_primer_effs[6],1.062,0.02,1.024,1.099,0.0,0.0,5437.0,8639.0,1.0
log2_primer_effs[7],1.018,0.021,0.978,1.056,0.0,0.0,5639.0,9016.0,1.0
log2_primer_effs[8],1.097,0.02,1.059,1.136,0.0,0.0,5596.0,9250.0,1.0
log2_primer_effs[9],1.061,0.02,1.022,1.099,0.0,0.0,5493.0,8748.0,1.0
log2_primer_effs[10],1.084,0.02,1.046,1.122,0.0,0.0,5481.0,8819.0,1.0
log2_primer_effs[11],1.095,0.033,1.034,1.158,0.0,0.0,7660.0,12822.0,1.0
dil_rand_effs[0],-0.372,0.131,-0.615,-0.122,0.001,0.001,15180.0,18161.0,1.0
dil_rand_effs[1],0.174,0.154,-0.112,0.468,0.001,0.001,12825.0,15892.0,1.0
dil_rand_effs[2],0.35,0.095,0.172,0.532,0.001,0.001,9507.0,13144.0,1.0
dil_rand_effs[3],0.166,0.096,-0.017,0.344,0.001,0.001,9707.0,13964.0,1.0
dil_rand_effs[4],-0.239,0.137,-0.499,0.016,0.002,0.001,8119.0,11650.0,1.0
dil_rand_effs[5],-0.49,0.232,-0.911,-0.088,0.002,0.001,15234.0,17435.0,1.0
dil_rand_effs[6],0.135,0.155,-0.154,0.429,0.001,0.001,13281.0,17218.0,1.0
dil_rand_effs[7],0.318,0.135,0.059,0.569,0.002,0.001,6170.0,10077.0,1.0
dil_rand_effs[8],0.375,0.129,0.142,0.628,0.002,0.001,5532.0,8979.0,1.0
dil_rand_effs[9],0.425,0.135,0.168,0.679,0.002,0.001,5976.0,10207.0,1.0
dil_rand_effs[10],0.086,0.129,-0.156,0.329,0.002,0.001,5616.0,9502.0,1.0
dil_rand_effs[11],-0.216,0.139,-0.469,0.053,0.002,0.001,8288.0,11728.0,1.0
dil_rand_effs[12],-0.338,0.13,-0.584,-0.1,0.001,0.001,13787.0,15540.0,1.0
dil_rand_effs[13],0.588,0.098,0.403,0.77,0.001,0.001,9525.0,13210.0,1.0
dil_rand_effs[14],-0.504,0.286,-1.113,-0.002,0.002,0.001,21005.0,15456.0,1.0
dil_rand_effs[15],-0.33,0.092,-0.503,-0.157,0.001,0.001,7386.0,11313.0,1.0
dil_rand_effs[16],0.365,0.098,0.175,0.547,0.001,0.001,9827.0,14622.0,1.0
dil_rand_effs[17],-0.286,0.121,-0.519,-0.062,0.001,0.001,13668.0,16543.0,1.0
dil_rand_effs[18],0.137,0.137,-0.12,0.399,0.002,0.001,8062.0,11123.0,1.0
dil_rand_effs[19],-0.261,0.115,-0.475,-0.046,0.001,0.001,11849.0,17011.0,1.0
dil_rand_effs[20],0.133,0.1,-0.055,0.322,0.001,0.001,8108.0,12781.0,1.0
