date,expt,well,Cq,sample_name,type,bio_Rep,geno,relative_concentration,primer_no,primer_desc
2/3/23,1,B10,27.62633714,Bsub_only,dill_ser,1,Bsub,0.0001,p4401,Bs_mfd_upst
2/6/23,2,J02,28.10945832,Bsub_only,dill_ser,1,Bsub,0.0001,p4401,Bs_mfd_upst
2/7/23,3,B10,28.15273038,Bsub_only,dill_ser,1,Bsub,0.0001,p4401,Bs_mfd_upst
2/8/23,4,P05,27.83494941,Bsub_only,dill_ser,1,Bsub,0.0001,P4401,Bs_mfd_upst
2/10/23,5,L19,28.14162381,Bsub_only,dill_ser,1,Bsub,0.0001,P4401,Bs_mfd_upst
2/3/23,1,B08,23.95308349,Bsub_only,dill_ser,1,Bsub,0.001,p4401,Bs_mfd_upst
2/6/23,2,H02,24.19594829,Bsub_only,dill_ser,1,Bsub,0.001,p4401,Bs_mfd_upst
2/7/23,3,B08,24.20847044,Bsub_only,dill_ser,1,Bsub,0.001,p4401,Bs_mfd_upst
2/8/23,4,J05,24.11981012,Bsub_only,dill_ser,1,Bsub,0.001,P4401,Bs_mfd_upst
2/10/23,5,L17,24.66977996,Bsub_only,dill_ser,1,Bsub,0.001,P4401,Bs_mfd_upst
2/3/23,1,B06,20.99200517,Bsub_only,dill_ser,1,Bsub,0.01,p4401,Bs_mfd_upst
2/6/23,2,F02,21.30039651,Bsub_only,dill_ser,1,Bsub,0.01,p4401,Bs_mfd_upst
2/7/23,3,B06,21.3168582,Bsub_only,dill_ser,1,Bsub,0.01,p4401,Bs_mfd_upst
2/8/23,4,F05,21.22486561,Bsub_only,dill_ser,1,Bsub,0.01,P4401,Bs_mfd_upst
2/10/23,5,L16,21.58407909,Bsub_only,dill_ser,1,Bsub,0.01,P4401,Bs_mfd_upst
2/3/23,1,B04,16.96068831,Bsub_only,dill_ser,1,Bsub,0.1,p4401,Bs_mfd_upst
2/6/23,2,D02,17.1424219,Bsub_only,dill_ser,1,Bsub,0.1,p4401,Bs_mfd_upst
2/7/23,3,B04,17.47753709,Bsub_only,dill_ser,1,Bsub,0.1,p4401,Bs_mfd_upst
2/8/23,4,B05,17.09062646,Bsub_only,dill_ser,1,Bsub,0.1,P4401,Bs_mfd_upst
2/10/23,5,L14,17.28486059,Bsub_only,dill_ser,1,Bsub,0.1,P4401,Bs_mfd_upst
2/3/23,1,B02,14.12929211,Bsub_only,dill_ser,1,Bsub,1,p4401,Bs_mfd_upst
2/6/23,2,B02,14.19293182,Bsub_only,dill_ser,1,Bsub,1,p4401,Bs_mfd_upst
2/7/23,3,B02,14.12081014,Bsub_only,dill_ser,1,Bsub,1,p4401,Bs_mfd_upst
2/8/23,4,C05,13.87910765,Bsub_only,dill_ser,1,Bsub,1,P4401,Bs_mfd_upst
2/10/23,5,L12,13.85971699,Bsub_only,dill_ser,1,Bsub,1,P4401,Bs_mfd_upst
2/3/23,1,C10,27.24783952,Bsub_only,dill_ser,1,Bsub,0.0001,p4402,Bs_ybfM
2/6/23,2,J04,27.5784406,Bsub_only,dill_ser,1,Bsub,0.0001,p4402,Bs_ybfM
2/7/23,3,C10,27.79691387,Bsub_only,dill_ser,1,Bsub,0.0001,p4402,Bs_ybfM
2/8/23,4,P08,28.31540386,Bsub_only,dill_ser,1,Bsub,0.0001,P4402,Bs_ybfM
2/10/23,5,H19,28.5369852,Bsub_only,dill_ser,1,Bsub,0.0001,P4402,Bs_ybfM
2/3/23,1,C08,23.81098021,Bsub_only,dill_ser,1,Bsub,0.001,p4402,Bs_ybfM
2/6/23,2,H04,24.00778498,Bsub_only,dill_ser,1,Bsub,0.001,p4402,Bs_ybfM
2/7/23,3,C08,24.12212716,Bsub_only,dill_ser,1,Bsub,0.001,p4402,Bs_ybfM
2/8/23,4,J08,23.94026257,Bsub_only,dill_ser,1,Bsub,0.001,P4402,Bs_ybfM
2/10/23,5,H17,24.5785643,Bsub_only,dill_ser,1,Bsub,0.001,P4402,Bs_ybfM
2/3/23,1,C06,20.83823173,Bsub_only,dill_ser,1,Bsub,0.01,p4402,Bs_ybfM
2/6/23,2,F04,20.92445847,Bsub_only,dill_ser,1,Bsub,0.01,p4402,Bs_ybfM
2/7/23,3,C06,21.14278459,Bsub_only,dill_ser,1,Bsub,0.01,p4402,Bs_ybfM
2/8/23,4,F08,21.0032158,Bsub_only,dill_ser,1,Bsub,0.01,P4402,Bs_ybfM
2/10/23,5,H16,21.36949382,Bsub_only,dill_ser,1,Bsub,0.01,P4402,Bs_ybfM
2/3/23,1,C04,16.82256876,Bsub_only,dill_ser,1,Bsub,0.1,p4402,Bs_ybfM
2/6/23,2,D04,17.11142377,Bsub_only,dill_ser,1,Bsub,0.1,p4402,Bs_ybfM
